quiz_id,text,thumbnail_url,questionType,learnMore_url
25,"What type of dog is Handsome Dan the mascot of Yale University?","","multiple",""
25,"What is the airspeed velocity of an unladen swallow?","","multiple",""
25,"When was YouTube founded?","","multiple",""
25,"What is the romanized Arabic word for moon?","","multiple",""
25,"How long did it take the motorized window washers of the original World Trade Center to clean the entire exterior of the building?","","multiple",""
25,"What year was the RoboSapien toy robot released?","","multiple",""
25,"According to Fair Works Australia how long do you have to work to get Long Service Leave?","","multiple",""
25,"Named after the mallow flower mauve is a shade of what?","","multiple",""
25,"In Battle Cats what is Moneko / MISS Monekos critical percentage rate?","","multiple",""
25,"The word abulia means which of the following?","","multiple",""
26,"What was the name of the Ethiopian Wolf before they knew it was related to wolves?","","multiple",""
26,"Which species of Brown Bear is not extinct?","","multiple",""
26,"How many known living species of hyenas are there?","","multiple",""
26,"Which of these animals is NOT a lizard?","","multiple",""
26,"What type of creature is a Bonobo?","","multiple",""
26,"Which species is a mountain chicken?","","multiple",""
26,"Which of the following is another name for the Poecilotheria Metallica Tarantula?","","multiple",""
26,"Which of these is a colony of polyps and not a jellyfish?","","multiple",""
26,"What is the collective noun for vultures?","","multiple",""
26,"To which biological phylum do all mammals birds and reptiles belong?","","multiple",""
27,"Which country is completely landlocked by South Africa?","","multiple",""
27,"Which of these is NOT a province in China?","","multiple",""
27,"The mountainous Khyber Pass connects which of the two following countries?","","multiple",""
27,"The Hunua Ranges is located in...","","multiple",""
27,"What is the official German name of the Swiss Federal Railways?","","multiple",""
27,"What is the Finnish word for Finland?","","multiple",""
27,"What is the second-largest city in Lithuania?","","multiple",""
27,"In which country is Tallinn located?","","multiple",""
27,"What is the capital of Wisconsin USA?","","multiple",""
27,"What is the largest freshwater lake by volume?","","multiple",""
28,"What name did Tom Hanks give to his volleyball companion in the film `Cast Away`?","","multiple",""
28,"Who played Deputy Marshal Samuel Gerard in the 1993 film The Fugitive?","","multiple",""
28,"This movie contains the quote I feel the need ... the need for speed!","","multiple",""
28,"Who in Pulp Fiction says No they got the metric system there they wouldnt know what the fuck a Quarter Pounder is.","","multiple",""
28,"In Jurassic World what is the name of the dinosaur that is a genetic hybrid?","","multiple",""
28,"The first rule is: you dont talk about it is a reference to which movie?","","multiple",""
28,"In the 2012 film The Lorax who is the antagonist?","","multiple",""
28,"In the movie Blade Runner what is the term used for human-like androids ?","","multiple",""
28,"In the 1995 film Balto who are Steeles accomplices?","","multiple",""
28,"In Big Hero 6 what fictional city is the Big Hero 6 from?","","multiple",""
29,"What was Marilyn Monroe`s characters first name in the film Some Like It Hot?","","multiple",""
29,"In which 1955 film does Frank Sinatra play Nathan Detroit?","","multiple",""
29,"Who plays the Nemesis in the Resident Evil movies?","","multiple",""
29,"In the 2010 Nightmare on Elm Street reboot who played Freddy Kruger?","","multiple",""
29,"What is the correct phrase for the Latin saying Romanes Eunt Domus in Monty Pythons Life of Brian?","","multiple",""
29,"In what year was the movie Police Academy released?","","multiple",""
29,"Who is the director of the 1991 film Silence of the Lambs?","","multiple",""
29,"In Mulan (1998) who is the leader of the Huns?","","multiple",""
29,"Which actor and martial artist starred as Colonel Guile in the 1994 action film adaptation of Street Fighter?","","multiple",""
29,"In the movie Back to the Future  what speed does Doc Browns DeLorean need to reach in order to travel through time?","","multiple",""
30,"Which of these bones is hardest to break?","","multiple",""
30,"What name is given to all baby marsupials?","","multiple",""
30,"Rhinoplasty is a surgical procedure on what part of the human body?","","multiple",""
30,"What is the hottest planet in the Solar System?","","multiple",""
30,"Which is the most abundant element in the universe?","","multiple",""
30,"The biggest distinction between a eukaryotic cell and a prokaryotic cell is:","","multiple",""
30,"How many chromosomes are in your body cells?","","multiple",""
30,"71% of the Earths surface is made up of","","multiple",""
30,"What is the official name of the star located closest to the North Celestial Pole?","","multiple",""
30,"What lies at the center of our galaxy?","","multiple",""
31,"What name represents the letter M in the NATO phonetic alphabet?","","multiple",""
31,"What does the G mean in G-Man?","","multiple",""
31,"Which of these companies does NOT manufacture automobiles?","","multiple",""
31,"What is the romanized Japanese word for university?","","multiple",""
